2017-02-14 23:28:50 status half-installed libpam0g:amd64 1.1.8-3.2ubuntu2
2017-02-14 23:28:50 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2017-02-14 23:28:50 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2017-02-14 23:28:50 install libpcre3:amd64 <none> 2:8.38-3.1
2017-02-14 23:28:50 status half-installed libpcre3:amd64 2:8.38-3.1
2017-02-14 23:28:50 status unpacked libpcre3:amd64 2:8.38-3.1
2017-02-14 23:28:50 status unpacked libpcre3:amd64 2:8.38-3.1
2017-02-14 23:28:50 install libprocps4:amd64 <none> 2:3.3.10-4ubuntu2
2017-02-14 23:28:50 status half-installed libprocps4:amd64 2:3.3.10-4ubuntu2
2017-02-14 23:28:50 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2017-02-14 23:28:50 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2017-02-14 23:28:50 install libseccomp2:amd64 <none> 2.2.3-3ubuntu3
2017-02-14 23:28:50 status half-installed libseccomp2:amd64 2.2.3-3ubuntu3
2017-02-14 23:28:50 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2017-02-14 23:28:50 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2017-02-14 23:28:50 install libselinux1:amd64 <none> 2.4-3build2
2017-02-14 23:28:50 status half-installed libselinux1:amd64 2.4-3build2
2017-02-14 23:28:50 status unpacked libselinux1:amd64 2.4-3build2
2017-02-14 23:28:50 status unpacked libselinux1:amd64 2.4-3build2
2017-02-14 23:28:50 install libsemanage-common:all <none> 2.3-1build3
2017-02-14 23:28:50 status half-installed libsemanage-common:all 2.3-1build3
2017-02-14 23:28:50 status unpacked libsemanage-common:all 2.3-1build3
2017-02-14 23:28:50 status unpacked libsemanage-common:all 2.3-1build3
2017-02-14 23:28:50 install libsemanage1:amd64 <none> 2.3-1build3
2017-02-14 23:28:50 status half-installed libsemanage1:amd64 2.3-1build3
2017-02-14 23:28:50 status unpacked libsemanage1:amd64 2.3-1build3
